Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1603929600.0,2020-10-29,BTCUSD,13274.73,13327.61,13184.5,13276.23,1402.78,18613817.76
1603843200.0,2020-10-28,BTCUSD,13647.9,13864.89,12892,13274.73,10670.86,142691342.5
1603756800.0,2020-10-27,BTCUSD,13066.73,13788,13057.09,13647.9,11242.75,151171567.91
1603670400.0,2020-10-26,BTCUSD,13039.09,13250,12773.5,13066.73,5725.2,74788651.05
1603584000.0,2020-10-25,BTCUSD,13122.73,13363.53,12903.74,13039.09,3658.6,47845374.45
1603497600.0,2020-10-24,BTCUSD,12941.59,13182.83,12887.38,13122.73,2820.82,36821705.67
1603411200.0,2020-10-23,BTCUSD,12983.26,13037.26,12729.82,12941.59,4996.4,64526705.98
1603324800.0,2020-10-22,BTCUSD,12802.67,13208.25,12686.73,12983.26,9277.56,120267676.23
1603238400.0,2020-10-21,BTCUSD,11921.11,13235,11899.1,12802.67,20093.61,252863284.87
1603152000.0,2020-10-20,BTCUSD,11764.14,12059.94,11680,11921.11,5859.84,69612470.31
1603065600.0,2020-10-19,BTCUSD,11519.97,11840,11409.94,11764.14,5459.93,63658430.8
1602979200.0,2020-10-18,BTCUSD,11365.8,11526.34,11352.79,11519.97,1047.17,11987530.53
1602892800.0,2020-10-17,BTCUSD,11321.86,11415.48,11264.01,11365.8,1124.42,12751808.46
1602806400.0,2020-10-16,BTCUSD,11511.11,11548.65,11200,11321.86,4309.22,48847324.61
1602720000.0,2020-10-15,BTCUSD,11428.84,11623.6,11250.01,11511.11,4864.43,55519244.9
1602633600.0,2020-10-14,BTCUSD,11427.98,11555.1,11287.42,11428.84,3788.25,43215383.86
1602547200.0,2020-10-13,BTCUSD,11535.98,11567.4,11314.53,11427.98,5097.96,58286126.94
1602460800.0,2020-10-12,BTCUSD,11372.93,11731.7,11175.99,11535.98,7088.23,81272304.47
1602374400.0,2020-10-11,BTCUSD,11301.2,11447.44,11272.11,11372.93,2177.65,24760115.52
